"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Barber Osgerby — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/0e6650dfcd62a941c9e3.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Лондоне с 1996 года. Строила предметы через исследование материала, технологии и промышленного процесса. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/barber-osgerby/","","product-design, design, visual culture, VANSMITHLAB"
"Barcelona Chair — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5c7f8a2e8ab2cf225566.jpg","vansmithlab.com","","Кресло как архитектурный манифест: сталь, кожа и церемониальность · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/barcelona-chair/","","object-space, design, visual culture, VANSMITHLAB"
"Barcelona Pavilion — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c3ce85c7764494e8bb79.jpg","vansmithlab.com","","Мис ван дер Роэ и Лилли Райх: свободный план, дорогие поверхности и павильон как чистая последовательность движения. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/barcelona-pavilion/","","space-typologies, design, visual culture, VANSMITHLAB"
"Bauhaus после Bauhaus: как школа стала мировой системой — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/dc8c4c88d2875301d036.jpg","vansmithlab.com","","После закрытия школа оказалась сильнее как сеть идей, миграций, программ и архивов, чем как учебное заведение. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/bauhaus-after-bauhaus-school-as-world-system/","","history-movements, graphic-design, design, visual culture, VANSMITHLAB"
"BBDO — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/622a9460228c03820985.jpg","vansmithlab.com","","Рекламное агентство в Нью-Йорке с 1928 года. Строит культуру вокруг качества самой работы и способности большой сети превращать стратегию в простую, массово считываемую идею. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/bbdo/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"BIG — Bjarke Ingels Group — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1de00a36ae64ebe919a2.jpg","vansmithlab.com","","Архитектурное бюро, повлиявшее на язык современной формы, пространства и города в Копенгагене с 2006 года. Строит проекты через ясную диаграмму. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/big/","","architecture, interior-design, design, visual culture, VANSMITHLAB"
"Bottega Veneta: плетение вместо логотипа — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/0bd62d74cccb6886b34d.jpg","vansmithlab.com","","Дом, сделавший производственный приём опознавательным знаком и потому не нуждающийся в видимой марке. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/bottega-veneta/","","fashion-systems, materials, design, visual culture, VANSMITHLAB"
"Braun: как предметный дизайн превратился в систему — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/09e824a162ca233fea74.jpg","vansmithlab.com","","Braun показала, что эстетика становится системой, когда превращается в повторяемую грамматику функций, пропорций и интерфейсов. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/braun-when-product-design-became-system/","","industrial-design, graphic-design, design, visual culture, VANSMITHLAB"
"Burberry: изобретение ткани как основание марки — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/660158f0a69f453928f7.jpg","vansmithlab.com","","Дом, выросший не из ателье, а из патента на материал, и потому уязвимый к тому, кто носит его клетку. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/burberry/","","fashion-systems, materials, design, visual culture, VANSMITHLAB"
"CAD — от кульмана к цифровой модели — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/533d3c8aebc72a181bb5.jpg","vansmithlab.com","","Чертёж стал изменяемой геометрией, а проект — системой связанных данных. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/cad-from-drawing-board-to-digital-model/","","technology, design, visual culture, VANSMITHLAB"
"Carlton — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/0ac05907dbc48e040444.jpg","vansmithlab.com","","Memphis: мебель как знак, цвет и отказ от нейтральности · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/carlton-bookcase/","","object-space, design, visual culture, VANSMITHLAB"
