"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Judith Clark — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/82ec8274e69833d29abf.jpg","vansmithlab.com","","Exhibition as a thinking device: fashion, space, scale and museum critique · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/curators/judith-clark-fashion-exhibition-museology/","","fashion, art, interior-design, media-publishing, design, visual culture, VANSMITHLAB"
"Juergen Teller — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/28703f2cc49c990847ee.jpg","vansmithlab.com","","Flash, intimacy and anti-glamour · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/photographers/juergen-teller-flash-intimacy-anti-glamour/","","photography, fashion, media-publishing, art, design, visual culture, VANSMITHLAB"
"Karl Lagerfeld — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/e79db90617f938a13fa0.jpg","vansmithlab.com","","The author of a visual empire: how drawing, the archive, photography and parallel work for several houses formed the model of the contemporary creative director · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/designers/karl-lagerfeld/","","fashion, photography, design, visual culture, VANSMITHLAB"
"Katie Grand — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/41012578c29567b1c1fc.jpg","vansmithlab.com","","The independent fashion title as a way of working faster and more freely than a large editorial network. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/fashion-editors/katie-grand-independent-fashion-publishing/","","media-publishing, fashion-systems, design, visual culture, VANSMITHLAB"
"Keith Haring — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/872e1445bb2e87020faa.jpg","vansmithlab.com","","The line, public space and the art of social accessibility · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/artists/keith-haring/","","art, graphic-design, design, visual culture, VANSMITHLAB"
"Kengo Kuma — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d4019222d75709682b4d.jpg","vansmithlab.com","","The architecture of dissolution, wood, craft and the local material · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/kengo-kuma/","","architecture, architects, materials-techniques, design, visual culture, VANSMITHLAB"
"Kenzo Tange — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f0ac8d160745c56333de.jpg","vansmithlab.com","","Memorial, megastructure and the architecture of postwar Japan · VANSMITHLAB - AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/kenzo-tange/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Kinetic Art — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/7c6f503153ec404ca506.jpg","vansmithlab.com","","Movement, mechanism and space · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/kinetic-art-movement-mechanism-space/","","art, architecture, product-design, interior-design, graphic-design, photography, fashion, media-publishing, design, visual culture, VANSMITHLAB"
"Kisho Kurokawa — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/332043422417d09031c9.jpg","vansmithlab.com","","Metabolism, the capsule and the architecture of symbiosis · VANSMITHLAB - AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/kisho-kurokawa/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Kiyonori Kikutake — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/17593cdcaca4d530137d.jpg","vansmithlab.com","","The marine city, changeable structure and the architecture of postwar utopia · VANSMITHLAB - AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/kiyonori-kikutake/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Klim Type Foundry — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/43fc5a319d3777011ac5.jpg","vansmithlab.com","","A type studio in Wellington since 2005. It creates typefaces through close study of proportion, historical models and the needs of specific linguistic and editorial environments. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/klim-type-foundry/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Knitting — Producing Surface and Form at the Same Time — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/97c136abdd1a74912d08.jpg","vansmithlab.com","","A technique in which instruction, loop and volume can belong to one design process. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/knitting-producing-surface-and-form-together/","","fashion-systems, design, visual culture, VANSMITHLAB"
"Knitwear — Form Created by the Loop — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/4a110804ebba4493f5a9.jpg","vansmithlab.com","","An elastic structure in which material and construction emerge at the same time. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/knitwear-form-created-by-loop/","","fashion-systems, design, visual culture, VANSMITHLAB"
"Landor — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/191ca484854c818add65.jpg","vansmithlab.com","","A studio or agency in San Francisco since 1941. It connects organisational strategy with visual, verbal, sonic and spatial brand expression. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/landor/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Large-format photography — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f495a550502118e2f851.jpg","vansmithlab.com","","Photographic processes: large negative, perspective, camera movements, frame discipline and slow image-making. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/large-format-photography-perspective-discipline-camera-movements/","","materials, architecture, interior-design, product-design, fashion, photography, design, visual culture, VANSMITHLAB"
"Lars Müller Publishers — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/104a4fc780b2b1841431.jpg","vansmithlab.com","","An independent publisher or editorial studio in Baden since 1983. It publishes books on architecture, design, photography, art and society with close attention to editorial content and graphic form as one whole. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/lars-muller-publishers/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"Laser Cutting — Flat Precision and Serial Form — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/90e962ed4195f085314a.jpg","vansmithlab.com","","A two-dimensional contour becomes a cut, and a sheet becomes a system of parts, joints and modules. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/laser-cutting-flat-precision-serial-form/","","technology, design, visual culture, VANSMITHLAB"
"LAYER — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/e45c283e3e5f672b6bdb.jpg","vansmithlab.com","","An industrial and product design studio in London since 2015. It combines strategy, industrial design, engineering and visual identity. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/layer/","","product-design, design, visual culture, VANSMITHLAB"
"LC4 — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/877f9d84c70e86ee8c20.jpg","vansmithlab.com","","The body as a mechanism of rest: adjustable posture, tubular steel and a new ergonomics · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/lc4-chaise-longue/","","object-space, design, visual culture, VANSMITHLAB"
"Le Corbusier — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ddc305c85de59a28e57d.jpg","vansmithlab.com","","A machine for living, the city as a system and the architecture of a new age · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/le-corbusier/","","architecture, art, architects, artists, design, visual culture, VANSMITHLAB"
"Leather — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/940f081f57acfa681388.jpg","vansmithlab.com","","Tanning, finishing, and luxury production · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/leather-tanning-luxury-production/","","fashion, design, visual culture, VANSMITHLAB"
"Limestone — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a0d38c8faf42102a86fc.jpg","vansmithlab.com","","Stone: sedimentary softness, porosity, facade, sculpture and dignified ageing. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/limestone-soft-mass-porous-architecture/","","materials, architecture, interior-design, product-design, fashion, photography, design, visual culture, VANSMITHLAB"
"Lina Bo Bardi — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/11b6a38aedea941688a9.jpg","vansmithlab.com","","Everyday life, collectivity and the architecture of open use · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/lina-bo-bardi/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Lining — the Invisible Architecture of Clothing — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/fdcd04fbd61defca5710.jpg","vansmithlab.com","","The inner layer that controls friction, construction cleanliness, movement and garment life. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/lining-invisible-architecture-of-clothing/","","fashion-systems, design, visual culture, VANSMITHLAB"
"Loewe: the leather workshop as a cultural institution — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1b07b72c4ec9f8137fab.jpg","vansmithlab.com","","A house that redefined itself through craft: a prize, a foundation, and an exhibition programme became part of the brand alongside the bag. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/loewe/","","fashion-systems, materials, design, visual culture, VANSMITHLAB"
"LoRA and model adaptation — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/83acba8bf119f40de83a.jpg","vansmithlab.com","","A way to adapt a large model to a specific task by changing a fraction of a percent of its weights. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/lora-model-adaptation/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
