"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"032c — Berlin Culture, Fashion and the Magazine as a Production System — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/12ed2c4700049d7ee6db.jpg","vansmithlab.com","","A Berlin magazine, fashion brand, gallery, store and archive operating as one cultural production system. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/032c-berlin-culture-fashion-magazine-as-production-system/","","fashion, media-publishing, art, graphic-design, design, visual culture, VANSMITHLAB"
"3D Gaussian splatting — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/53326c82bf57466e9ce9.jpg","vansmithlab.com","","A scene is represented by millions of translucent blobs instead of surfaces, delivering display speed at high quality. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/3d-gaussian-splatting/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
"3D Modelling — The Object Before the Object — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ba6c8fbcd729c3dc45c5.jpg","vansmithlab.com","","Digital geometry allows an object to be built, tested and shown before a physical prototype exists. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/3d-modeling-object-before-object/","","technology, design, visual culture, VANSMITHLAB"
"3D Printing — Production Without Traditional Tooling — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3e67d809f3566d6abc47.jpg","vansmithlab.com","","Form is built layer by layer from digital geometry, changing the role of tooling and series production. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/3d-printing-production-without-traditional-tooling/","","technology, design, visual culture, VANSMITHLAB"
"3D Scanning — A Digital Twin of the Real Object — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/662a0194b06a71d3f765.jpg","vansmithlab.com","","Physical surfaces become measured point clouds and editable geometry. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/3d-scanning-digital-twin-of-real-object/","","technology, design, visual culture, VANSMITHLAB"
"606 Universal Shelving System — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/6139362daaed1da4a54d.jpg","vansmithlab.com","","Modularity, repairability and the long life of an object · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/606-universal-shelving-system/","","object-space, design, visual culture, VANSMITHLAB"
"A Magazine Is No Longer Paper — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5e9b0b949b32316e42d9.jpg","vansmithlab.com","","Why editorial culture now lives across the issue, archive, database, event, studio, object and space · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/analysis/magazine-is-no-longer-paper/","","media-publishing, fashion, photography, graphic-design, design, visual culture, VANSMITHLAB"
"Acrylic / PMMA — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/27ab58f23877b9006dc3.jpg","vansmithlab.com","","Polymers: transparent plastic, coloured thickness, display, light and a safer alternative to glass. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/acrylic-pmma-transparent-colour-light-thickness/","","materials, architecture, interior-design, product-design, fashion, photography, design, visual culture, VANSMITHLAB"
"Actual Source — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/db9448f16b2ebd540b0a.jpg","vansmithlab.com","","An independent publisher or editorial studio in Utah since 2015. It combines graphic-design studio, publishing, retail and product making, blurring the line between commissioned identity and its own editorial culture. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/actual-source/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"Adobe Photoshop — Layer, Mask and the Culture of the Editable Image — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1f316046c632b362a471.jpg","vansmithlab.com","","The image became a layered document in which decisions can be separated, masked and rebuilt. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/adobe-photoshop-layer-mask-editable-image/","","technology, design, visual culture, VANSMITHLAB"
